participant,frame_file,frame_name,outcome_prediction
1048,q_27_main_0_30fps_frame0013.png,q_27_main_0_30fps_frame0013,Yes
1048,q_27_main_0_30fps_frame0028.png,q_27_main_0_30fps_frame0028,Yes
1048,q_28_main_1_30fps_frame0015.png,q_28_main_1_30fps_frame0015,Yes
1048,q_28_main_1_30fps_frame0030.png,q_28_main_1_30fps_frame0030,Well
1048,q_29_main_0_30fps_frame0015.png,q_29_main_0_30fps_frame0015,Yes
1048,q_29_main_0_30fps_frame0030.png,q_29_main_0_30fps_frame0030,Yes
1048,q_2_main_1_30fps_frame0014.png,q_2_main_1_30fps_frame0014,Yes
1048,q_2_main_1_30fps_frame0029.png,q_2_main_1_30fps_frame0029,Yes
1048,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,Yes
1048,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,Yes
1048,q_3_main_1_30fps_frame0014.png,q_3_main_1_30fps_frame0014,Well
1048,q_3_main_1_30fps_frame0029.png,q_3_main_1_30fps_frame0029,Yes
1048,q_4_main_1_30fps_frame0014.png,q_4_main_1_30fps_frame0014,Yes
1048,q_4_main_1_30fps_frame0029.png,q_4_main_1_30fps_frame0029,Yes
1048,q_5_main_0_30fps_frame0015.png,q_5_main_0_30fps_frame0015,YES
1048,q_5_main_0_30fps_frame0030.png,q_5_main_0_30fps_frame0030,Yes
1048,q_6_main_1_30fps_frame0015.png,q_6_main_1_30fps_frame0015,Well
1048,q_6_main_1_30fps_frame0030.png,q_6_main_1_30fps_frame0030,Well
1048,q_7_main_1_30fps_frame0014.png,q_7_main_1_30fps_frame0014,Yes
1048,q_7_main_1_30fps_frame0029.png,q_7_main_1_30fps_frame0029,Yes
1048,q_8_main_0_30fps_frame0015.png,q_8_main_0_30fps_frame0015,Well
1048,q_8_main_0_30fps_frame0030.png,q_8_main_0_30fps_frame0030,Well
1048,q_9_main_0_30fps_frame0013.png,q_9_main_0_30fps_frame0013,Yes
1048,q_9_main_0_30fps_frame0028.png,q_9_main_0_30fps_frame0028,Yes
1048,q_warmup_3_main_1_30fps_frame0013.png,q_warmup_3_main_1_30fps_frame0013,Well
1048,q_warmup_3_main_1_30fps_frame0028.png,q_warmup_3_main_1_30fps_frame0028,Yes
1048,q_warmup_4_main_0_30fps_frame0014.png,q_warmup_4_main_0_30fps_frame0014,Well
1048,q_warmup_4_main_0_30fps_frame0029.png,q_warmup_4_main_0_30fps_frame0029,Yes
1048,q_warmup_5_main_0_30fps_frame0015.png,q_warmup_5_main_0_30fps_frame0015,Yes
1048,q_warmup_5_main_0_30fps_frame0030.png,q_warmup_5_main_0_30fps_frame0030,YES
1251,q_10_main_0_30fps_frame0015.png,q_10_main_0_30fps_frame0015,Well
1251,q_10_main_0_30fps_frame0030.png,q_10_main_0_30fps_frame0030,Yes
1251,q_11_main_1_30fps_frame0014.png,q_11_main_1_30fps_frame0014,Well
1251,q_11_main_1_30fps_frame0029.png,q_11_main_1_30fps_frame0029,YES
1251,q_12_main_1_30fps_frame0015.png,q_12_main_1_30fps_frame0015,Well
1251,q_12_main_1_30fps_frame0030.png,q_12_main_1_30fps_frame0030,Well
1251,q_13_main_1_30fps_frame0015.png,q_13_main_1_30fps_frame0015,YES
1251,q_13_main_1_30fps_frame0030.png,q_13_main_1_30fps_frame0030,Well
1251,q_14_main_0_30fps_frame0014.png,q_14_main_0_30fps_frame0014,Well
1251,q_14_main_0_30fps_frame0029.png,q_14_main_0_30fps_frame0029,Well
1251,q_15_main_1_30fps_frame0014.png,q_15_main_1_30fps_frame0014,Well
1251,q_15_main_1_30fps_frame0029.png,q_15_main_1_30fps_frame0029,Well
1251,q_16_main_1_30fps_frame0014.png,q_16_main_1_30fps_frame0014,Well
1251,q_16_main_1_30fps_frame0029.png,q_16_main_1_30fps_frame0029,Well
1251,q_17_main_0_30fps_frame0014.png,q_17_main_0_30fps_frame0014,Well
1251,q_17_main_0_30fps_frame0029.png,q_17_main_0_30fps_frame0029,Well
1251,q_18_main_0_30fps_frame0015.png,q_18_main_0_30fps_frame0015,Well
1251,q_18_main_0_30fps_frame0030.png,q_18_main_0_30fps_frame0030,Well
1251,q_19_main_0_30fps_frame0014.png,q_19_main_0_30fps_frame0014,Well
1251,q_19_main_0_30fps_frame0029.png,q_19_main_0_30fps_frame0029,Well
1251,q_1_main_0_30fps_frame0015.png,q_1_main_0_30fps_frame0015,Well
1251,q_1_main_0_30fps_frame0030.png,q_1_main_0_30fps_frame0030,Well
1251,q_20_main_0_30fps_frame0015.png,q_20_main_0_30fps_frame0015,Well
1251,q_20_main_0_30fps_frame0030.png,q_20_main_0_30fps_frame0030,YES
1251,q_21_main_0_30fps_frame0015.png,q_21_main_0_30fps_frame0015,Well
1251,q_21_main_0_30fps_frame0030.png,q_21_main_0_30fps_frame0030,Well
1251,q_22_main_0_30fps_frame0015.png,q_22_main_0_30fps_frame0015,Well
1251,q_22_main_0_30fps_frame0030.png,q_22_main_0_30fps_frame0030,Well
1251,q_23_main_1_30fps_frame0014.png,q_23_main_1_30fps_frame0014,Yes
1251,q_23_main_1_30fps_frame0029.png,q_23_main_1_30fps_frame0029,YES
1251,q_24_main_0_30fps_frame0015.png,q_24_main_0_30fps_frame0015,Yes
1251,q_24_main_0_30fps_frame0030.png,q_24_main_0_30fps_frame0030,Well
1251,q_25_main_0_30fps_frame0015.png,q_25_main_0_30fps_frame0015,YES
1251,q_25_main_0_30fps_frame0030.png,q_25_main_0_30fps_frame0030,Well
1251,q_26_main_1_30fps_frame0014.png,q_26_main_1_30fps_frame0014,Well
1251,q_26_main_1_30fps_frame0029.png,q_26_main_1_30fps_frame0029,Well
1251,q_27_main_0_30fps_frame0015.png,q_27_main_0_30fps_frame0015,Well
1251,q_27_main_0_30fps_frame0030.png,q_27_main_0_30fps_frame0030,YES
1251,q_28_main_0_30fps_frame0015.png,q_28_main_0_30fps_frame0015,YES
1251,q_28_main_0_30fps_frame0030.png,q_28_main_0_30fps_frame0030,Well
1251,q_29_main_0_30fps_frame0014.png,q_29_main_0_30fps_frame0014,Well
1251,q_29_main_0_30fps_frame0029.png,q_29_main_0_30fps_frame0029,Well
1251,q_2_main_1_30fps_frame0015.png,q_2_main_1_30fps_frame0015,Well
1251,q_2_main_1_30fps_frame0030.png,q_2_main_1_30fps_frame0030,YES
1251,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,Well
1251,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,Well
1251,q_3_main_0_30fps_frame0014.png,q_3_main_0_30fps_frame0014,YES
1251,q_3_main_0_30fps_frame0029.png,q_3_main_0_30fps_frame0029,YES
1251,q_4_main_1_30fps_frame0013.png,q_4_main_1_30fps_frame0013,Well
1251,q_4_main_1_30fps_frame0028.png,q_4_main_1_30fps_frame0028,Well
1251,q_5_main_0_30fps_frame0014.png,q_5_main_0_30fps_frame0014,Yes
1251,q_5_main_0_30fps_frame0029.png,q_5_main_0_30fps_frame0029,Well
1251,q_6_main_1_30fps_frame0014.png,q_6_main_1_30fps_frame0014,YES
1251,q_6_main_1_30fps_frame0029.png,q_6_main_1_30fps_frame0029,Well
1251,q_7_main_1_30fps_frame0015.png,q_7_main_1_30fps_frame0015,Well
1251,q_7_main_1_30fps_frame0030.png,q_7_main_1_30fps_frame0030,Well
1251,q_8_main_0_30fps_frame0014.png,q_8_main_0_30fps_frame0014,Well
1251,q_8_main_0_30fps_frame0029.png,q_8_main_0_30fps_frame0029,Well
1251,q_9_main_1_30fps_frame0014.png,q_9_main_1_30fps_frame0014,Well
1251,q_9_main_1_30fps_frame0029.png,q_9_main_1_30fps_frame0029,Well
1251,q_warmup_3_main_1_30fps_frame0015.png,q_warmup_3_main_1_30fps_frame0015,Well
1251,q_warmup_3_main_1_30fps_frame0030.png,q_warmup_3_main_1_30fps_frame0030,Yes
1251,q_warmup_4_main_0_30fps_frame0015.png,q_warmup_4_main_0_30fps_frame0015,Yes
1251,q_warmup_4_main_0_30fps_frame0030.png,q_warmup_4_main_0_30fps_frame0030,Well
1251,q_warmup_5_main_1_30fps_frame0014.png,q_warmup_5_main_1_30fps_frame0014,Well
1251,q_warmup_5_main_1_30fps_frame0029.png,q_warmup_5_main_1_30fps_frame0029,Well
1483,q_10_main_1_30fps_frame0013.png,q_10_main_1_30fps_frame0013,YES
1483,q_10_main_1_30fps_frame0028.png,q_10_main_1_30fps_frame0028,YES
1483,q_11_main_1_30fps_frame0013.png,q_11_main_1_30fps_frame0013,YES
1483,q_11_main_1_30fps_frame0028.png,q_11_main_1_30fps_frame0028,YES
1483,q_12_main_1_30fps_frame0014.png,q_12_main_1_30fps_frame0014,Well
1483,q_12_main_1_30fps_frame0029.png,q_12_main_1_30fps_frame0029,Well
1483,q_13_main_0_30fps_frame0015.png,q_13_main_0_30fps_frame0015,YES
1483,q_13_main_0_30fps_frame0030.png,q_13_main_0_30fps_frame0030,YES
1483,q_14_main_0_30fps_frame0015.png,q_14_main_0_30fps_frame0015,YES
1483,q_14_main_0_30fps_frame0030.png,q_14_main_0_30fps_frame0030,YES
1483,q_15_main_1_30fps_frame0015.png,q_15_main_1_30fps_frame0015,Well
1483,q_15_main_1_30fps_frame0030.png,q_15_main_1_30fps_frame0030,YES
1483,q_16_main_1_30fps_frame0014.png,q_16_main_1_30fps_frame0014,YES
1483,q_16_main_1_30fps_frame0029.png,q_16_main_1_30fps_frame0029,Yes
1483,q_17_main_1_30fps_frame0014.png,q_17_main_1_30fps_frame0014,Well
1483,q_17_main_1_30fps_frame0029.png,q_17_main_1_30fps_frame0029,YES
1483,q_18_main_0_30fps_frame0014.png,q_18_main_0_30fps_frame0014,YES
1483,q_18_main_0_30fps_frame0029.png,q_18_main_0_30fps_frame0029,YES
1483,q_19_main_0_30fps_frame0014.png,q_19_main_0_30fps_frame0014,YES
1483,q_19_main_0_30fps_frame0029.png,q_19_main_0_30fps_frame0029,YES
1483,q_21_main_1_30fps_frame0014.png,q_21_main_1_30fps_frame0014,Well
1483,q_21_main_1_30fps_frame0029.png,q_21_main_1_30fps_frame0029,YES
1483,q_22_main_1_30fps_frame0014.png,q_22_main_1_30fps_frame0014,Well
1483,q_22_main_1_30fps_frame0029.png,q_22_main_1_30fps_frame0029,YES
1483,q_23_main_0_30fps_frame0014.png,q_23_main_0_30fps_frame0014,YES
1483,q_23_main_0_30fps_frame0029.png,q_23_main_0_30fps_frame0029,YES
1483,q_24_main_0_30fps_frame0014.png,q_24_main_0_30fps_frame0014,YES
1483,q_24_main_0_30fps_frame0029.png,q_24_main_0_30fps_frame0029,Well
1483,q_25_main_0_30fps_frame0015.png,q_25_main_0_30fps_frame0015,YES
1483,q_25_main_0_30fps_frame0030.png,q_25_main_0_30fps_frame0030,Well
1483,q_26_main_1_30fps_frame0013.png,q_26_main_1_30fps_frame0013,Well
1483,q_26_main_1_30fps_frame0028.png,q_26_main_1_30fps_frame0028,YES
1483,q_27_main_1_30fps_frame0015.png,q_27_main_1_30fps_frame0015,YES
1483,q_27_main_1_30fps_frame0030.png,q_27_main_1_30fps_frame0030,YES
1483,q_28_main_0_30fps_frame0014.png,q_28_main_0_30fps_frame0014,Yes
1483,q_28_main_0_30fps_frame0029.png,q_28_main_0_30fps_frame0029,YES
1483,q_29_main_0_30fps_frame0014.png,q_29_main_0_30fps_frame0014,Well
1483,q_29_main_0_30fps_frame0029.png,q_29_main_0_30fps_frame0029,Well
1483,q_2_main_1_30fps_frame0014.png,q_2_main_1_30fps_frame0014,Well
1483,q_2_main_1_30fps_frame0029.png,q_2_main_1_30fps_frame0029,YES
1483,q_30_main_0_30fps_frame0014.png,q_30_main_0_30fps_frame0014,Well
1483,q_30_main_0_30fps_frame0029.png,q_30_main_0_30fps_frame0029,Well
1483,q_3_main_0_30fps_frame0013.png,q_3_main_0_30fps_frame0013,YES
1483,q_3_main_0_30fps_frame0028.png,q_3_main_0_30fps_frame0028,YES
1483,q_4_main_0_30fps_frame0015.png,q_4_main_0_30fps_frame0015,Well
1483,q_4_main_0_30fps_frame0030.png,q_4_main_0_30fps_frame0030,Well
1483,q_5_main_0_30fps_frame0013.png,q_5_main_0_30fps_frame0013,Well
1483,q_5_main_0_30fps_frame0028.png,q_5_main_0_30fps_frame0028,Well
1483,q_6_main_1_30fps_frame0015.png,q_6_main_1_30fps_frame0015,Well
1483,q_6_main_1_30fps_frame0030.png,q_6_main_1_30fps_frame0030,Well
1483,q_7_main_1_30fps_frame0014.png,q_7_main_1_30fps_frame0014,Well
1483,q_7_main_1_30fps_frame0029.png,q_7_main_1_30fps_frame0029,YES
1483,q_8_main_0_30fps_frame0015.png,q_8_main_0_30fps_frame0015,YES
1483,q_8_main_0_30fps_frame0030.png,q_8_main_0_30fps_frame0030,Yes
1483,q_9_main_0_30fps_frame0014.png,q_9_main_0_30fps_frame0014,Well
1483,q_9_main_0_30fps_frame0029.png,q_9_main_0_30fps_frame0029,Well
1483,q_warmup_3_main_1_30fps_frame0014.png,q_warmup_3_main_1_30fps_frame0014,Well
1483,q_warmup_3_main_1_30fps_frame0029.png,q_warmup_3_main_1_30fps_frame0029,YES
1483,q_warmup_4_main_0_30fps_frame0014.png,q_warmup_4_main_0_30fps_frame0014,YES
1483,q_warmup_4_main_0_30fps_frame0029.png,q_warmup_4_main_0_30fps_frame0029,YES
1483,q_warmup_5_main_1_30fps_frame0013.png,q_warmup_5_main_1_30fps_frame0013,YES
1483,q_warmup_5_main_1_30fps_frame0028.png,q_warmup_5_main_1_30fps_frame0028,YES
